Round,Position,Team,Played,Premiership_Points,Percentage
1,1,PA,1,4,262.1
1,2,CW,1,4,252.9
1,3,WC,1,4,152.9
1,4,HW,1,4,145.2
1,5,GW,1,4,143.8
1,6,RI,1,4,129.6
1,7,ES,1,4,110.5
1,8,SY,1,4,104.2
1,9,NM,1,4,103.7
1,10,SK,1,0,96.4
1,11,AD,1,0,95.9
1,12,FR,1,0,90.5
1,13,CA,1,0,77.1
1,14,GE,1,0,69.5
1,15,BL,1,0,68.9
1,16,ME,1,0,65.4
1,17,WB,1,0,39.5
1,18,GC,1,0,38.2
2,1,PA,2,8,290.6
2,2,NM,2,8,119.3
2,3,ES,2,8,109.2
2,4,CW,2,6,174.3
2,5,RI,2,6,120.5
2,6,SK,2,4,135.2
2,7,GE,2,4,119.1
2,8,GW,2,4,107.8
2,9,SY,2,4,98.0
2,10,GC,2,4,97.5
2,11,BL,2,4,89.9
2,12,WC,2,4,87.9
2,13,HW,2,4,80.6
2,14,ME,2,4,80.2
2,15,FR,2,0,87.5
2,16,CA,2,0,84.3
2,17,AD,2,0,57.6
2,18,WB,2,0,47.7
3,1,PA,3,12,243.8
3,2,CW,3,10,189.7
3,3,GC,3,8,133.1
3,4,ES,2,8,109.2
3,5,BL,3,8,106.9
3,6,NM,3,8,105.9
3,7,SY,3,8,103.8
3,8,HW,3,8,99.5
3,9,RI,3,6,95.7
3,10,GE,3,4,111.7
3,11,SK,3,4,96.2
3,12,GW,3,4,94.3
3,13,CA,3,4,90.3
3,14,ME,2,4,80.2
3,15,WC,3,4,78.1
3,16,WB,3,4,67.6
3,17,FR,3,0,78.0
3,18,AD,3,0,50.8
4,1,PA,4,16,236.3
4,2,GC,4,12,131.2
4,3,BL,4,12,120.5
4,4,HW,4,12,101.1
4,5,CW,4,10,154.3
4,6,GE,4,8,110.9
4,7,SK,4,8,107.5
4,8,ES,3,8,106.0
4,9,NM,4,8,102.9
4,10,GW,4,8,96.4
4,11,SY,4,8,92.8
4,12,CA,4,8,92.3
4,13,WB,4,8,84.1
4,14,RI,4,6,87.9
4,15,ME,3,4,83.7
4,16,WC,4,4,68.8
4,17,FR,4,0,78.4
4,18,AD,4,0,51.9
5,1,PA,5,16,170.1
5,2,BL,5,16,129.6
5,3,GE,5,12,120.5
5,4,SK,5,12,112.0
5,5,ES,4,12,111.3
5,6,GC,5,12,108.9
5,7,GW,5,12,107.4
5,8,WB,5,12,103.5
5,9,HW,5,12,91.0
5,10,CW,5,10,133.5
5,11,RI,5,10,97.9
5,12,CA,5,8,88.9
5,13,NM,5,8,87.3
