Round,Date,Home v Away Teams,Venue,Crowd,Result,Disposals,Goals
1,Thu 18 Mar 7:25pm,Richmond v Carlton,MCG,49218,105-80,J. Graham 33,J. Riewoldt 4
1,Fri 19 Mar 7:50pm,Collingwood v Western Bulldogs,MCG,46051,53-69,B. Smith 36,-
1,Sat 20 Mar 1:45pm,Melbourne v Fremantle,MCG,21365,80-58,C. Oliver 35,M. Taberner 3
1,Sat 20 Mar 4:05pm,Adelaide v Geelong,Adelaide Oval,26985,103-91,R. Laird 27,T. Walker 5
1,Sat 20 Mar 6:45pm,Brisbane v Sydney,Gabba,22762,94-125,C. Mills 29,-
1,Sat 20 Mar 7:25pm,Essendon v Hawthorn,Marvel Stadium,25128,91-92,T. Mitchell 39,D. Moore 3
1,Sun 21 Mar 1:10pm,North Melbourne v Port Adelaide,Marvel Stadium,13050,65-117,J. Stephenson 33,O. Fantasia 4
1,Sun 21 Mar 3:10pm,West Coast v Gold Coast,Optus Stadium,38493,83-58,D. Sheed 34,O. Allen 4
1,Sun 21 Mar 3:20pm,GWS v St Kilda,ENGIE Stadium,5014,78-86,J. Billings 30,T. Membrey 3; H. Himmelberg 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
2,Thu 25 Mar 7:20pm,Carlton v Collingwood,MCG,51723,85-106,J. Crisp 36,H. McKay 4; J. De Goey 4
2,Fri 26 Mar 7:20pm,Geelong v Brisbane,GMHBA Stadium,20070,81-80,C. Guthrie 28,E. Hipwood 4
2,Sat 27 Mar 1:45pm,Sydney v Adelaide,SCG,23946,121-88,R. Laird 30,T. Walker 6
2,Sat 27 Mar 4:05pm,Port Adelaide v Essendon,Adelaide Oval,29978,119-65,O. Wines 38,C. Dixon 4; M. Georgiades 4
2,Sat 27 Mar 7:10pm,Gold Coast v North Melbourne,People First Stadium,6661,98-39,N. Anderson 35,B. King 3; I. Rankine 3
2,Sat 27 Mar 7:25pm,St Kilda v Melbourne,Marvel Stadium,25903,73-91,C. Oliver 37,J. Steele 3
2,Sun 28 Mar 1:10pm,Hawthorn v Richmond,MCG,41051,49-78,T. Mitchell 37,J. Riewoldt 4
2,Sun 28 Mar 3:10pm,Fremantle v GWS,Optus Stadium,27625,87-56,D. Mundy 35,L. Schultz 3
2,Sun 28 Mar 3:20pm,Western Bulldogs v West Coast,Marvel Stadium,21391,100-93,J. Macrae 41,J. Kennedy 4; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
3,Thu 1 Apr 7:40pm,Collingwood v Brisbane,Marvel Stadium,28057,72-73,S. Pendlebury 30,J. Daniher 3
3,Fri 2 Apr 4:20pm,North Melbourne v Western Bulldogs,Marvel Stadium,28483,39-167,J. Macrae 33,J. Dunkley 33; J. Ziebell 33; J. Bruce 10
3,Fri 2 Apr 7:20pm,Adelaide v Gold Coast,Adelaide Oval,30175,95-85,R. Sloane 34,T. Walker 6
3,Sat 3 Apr 1:45pm,Richmond v Sydney,MCG,43637,72-117,C. Mills 31,T. Papley 4
3,Sat 3 Apr 4:35pm,Essendon v St Kilda,Marvel Stadium,29234,143-68,J. Ridley 35,J. Steele 35; C. Hooker 5
3,Sat 3 Apr 5:10pm,West Coast v Port Adelaide,Optus Stadium,42090,108-71,A. Gaff 36,J. Kennedy 4
3,Sun 4 Apr 3:20pm,Carlton v Fremantle,Marvel Stadium,24551,109-64,S. Walsh 37,H. McKay 7
3,Sun 4 Apr 6:10pm,GWS v Melbourne,Manuka Oval,9563,68-102,T. Taranto 32,T. Greene 5
