season,round,date,home_team,away_team,venue,crowd,result,disposals/goals,scraped_at
2024,0,2024-03-07,Sydney,Melbourne,SCG,40012,86-64,C. Oliver 30; B. Fritsch 4,2025-11-16 16:12:37.652455
2024,0,2024-03-08,Brisbane,Carlton,Gabba,33367,85-86,C. Curnow 4,2025-11-16 16:12:37.652455
2024,0,2024-03-09,Gold Coast,Richmond,People First Stadium,22086,99-60,B. King 5,2025-11-16 16:12:37.652455
2024,0,2024-03-09,GWS,Collingwood,ENGIE Stadium,21235,114-82,C. Brown 5,2025-11-16 16:12:37.652455
2024,1,2024-03-14,Carlton,Richmond,MCG,83881,86-81,H. McKay 3; N. Balta 3,2025-11-16 16:12:37.652455
2024,1,2024-03-15,Collingwood,Sydney,MCG,78933,69-102,L. McDonald 4,2025-11-16 16:12:37.652455
2024,1,2024-03-16,Essendon,Hawthorn,MCG,73805,107-83,J. Stringer 4,2025-11-16 16:12:37.652455
2024,1,2024-03-16,GWS,North Melbourne,ENGIE Stadium,8034,121-82,J. Hogan 6,2025-11-16 16:12:37.652455
2024,1,2024-03-16,Gold Coast,Adelaide,People First Stadium,11466,60-54,S. Flanders 35; J. Rachele 3,2025-11-16 16:12:37.652455
2024,1,2024-03-16,Geelong,St Kilda,GMHBA Stadium,39352,76-68,O. Dempsey 3; T. Membrey 3,2025-11-16 16:12:37.652455
2024,1,2024-03-17,Melbourne,Western Bulldogs,MCG,44100,109-64,K. Chandler 3; J. Van Rooyen 3,2025-11-16 16:12:37.652455
2024,1,2024-03-17,Port Adelaide,West Coast,Adelaide Oval,34078,120-70,C. Rozee 27; C. Dixon 3; J. Petruccelle 3,2025-11-16 16:12:37.652455
2024,1,2024-03-17,Fremantle,Brisbane,Optus Stadium,40604,93-70,J. Amiss 4,2025-11-16 16:12:37.652455
2024,2,2024-03-21,St Kilda,Collingwood,MCG,69517,94-79,J. Higgins 4,2025-11-16 16:12:37.652455
2024,2,2024-03-22,Adelaide,Geelong,Adelaide Oval,44758,77-96,T. Hawkins 4,2025-11-16 16:12:37.652455
2024,2,2024-03-23,North Melbourne,Fremantle,Marvel Stadium,17589,76-102,H. Sheezel 35; -,2025-11-16 16:12:37.652455
2024,2,2024-03-23,Hawthorn,Melbourne,MCG,43960,38-93,B. Fritsch 5,2025-11-16 16:12:37.652455
2024,2,2024-03-23,Sydney,Essendon,SCG,34954,131-101,I. Heeney 32; T. Papley 4,2025-11-16 16:12:37.652455
2024,2,2024-03-24,Western Bulldogs,Gold Coast,Mars Stadium,9752,115-67,C. Weightman 6,2025-11-16 16:12:37.652455
